repository_id,repository_name,full_name,owner_username,owner_type,repository_url,description,primary_language,created_at,updated_at,pushed_at,size_kb,stars_count,watchers_count,forks_count,open_issues_count,default_branch,topics,license_name,homepage,has_issues,has_projects,has_wiki,has_pages,is_fork,is_archived,is_disabled,visibility
481901631,secretflow,secretflow/secretflow,secretflow,Organization,https://github.com/secretflow/secretflow,A unified framework for privacy-preserving data analysis and machine learning,Python,2022-04-15T09:07:44Z,2026-09-15T03:53:00Z,2026-04-24T07:57:55Z,210786,2710,2710,470,92,main,"confidential-computing, data-analysis, differential-privacy, federated-learning, homomorphic-encryption, machine-learning, privacy-preserving, private-set-intersection, secure-multiparty-computation, split-learning, trusted-execution-environment",Apache License 2.0,https://www.secretflow.org.cn/docs/secretflow/en/,True,True,True,False,False,False,False,public
148087762,evadb,georgia-tech-db/evadb,georgia-tech-db,Organization,https://github.com/georgia-tech-db/evadb,Database system for AI-powered apps,Python,2018-09-10T02:26:03Z,2026-09-10T10:44:48Z,2024-05-17T16:33:06Z,162703,2673,2673,258,142,staging,"agent, ai, auto-gpt, chatgpt, data-analysis, database, eva, gpt-4, gpt4all, hacktoberfest, huggingface, labeling, langchain, llm, object-detection, serving, video-analytics",Apache License 2.0,https://evadb.readthedocs.io/en/stable/,True,True,True,True,False,True,False,public
450188582,mito,mito-ds/mito,mito-ds,Organization,https://github.com/mito-ds/mito,"Jupyter extensions that help you write code faster: Context aware AI Chat, Autocomplete, and Spreadsheet",Jupyter Notebook,2022-01-20T17:13:19Z,2026-09-14T17:33:24Z,2026-07-21T19:36:01Z,398730,2649,2649,206,293,dev,"ai, data, data-analysis, data-science, data-visualization, jupyter, jupyterhub, jupyterlab, jupyterlab-extension, pandas, python, streamlit-component",Other,https://trymito.io,True,True,True,False,False,False,False,public
605682921,hamilton,apache/hamilton,apache,Organization,https://github.com/apache/hamilton,"Apache Hamilton helps data scientists and engineers define testable, modular, self-documenting dataflows, that encode lineage/tracing and metadata. Runs and scales everywhere python does.",Jupyter Notebook,2023-02-23T17:16:48Z,2026-09-13T03:30:31Z,2026-09-13T05:12:47Z,186958,2591,2591,213,175,main,"dag, data-analysis, data-engineering, data-science, dataframe, etl, etl-framework, etl-pipeline, feature-engineering, hacktoberfest, lineage, llmops, machine-learning, mlops, orchestration, pandas, python, rag, software-engineering",Apache License 2.0,https://hamilton.apache.org/,True,True,True,True,False,False,False,public
268608991,Linear-Algebra-With-Python,weijie-chen/Linear-Algebra-With-Python,weijie-chen,User,https://github.com/weijie-chen/Linear-Algebra-With-Python,"Lecture Notes for Linear Algebra Featuring Python. This series of lecture notes will walk you through all the must-know concepts that set the foundation of data science or advanced quantitative skillsets. Suitable for statistician/econometrician, quantitative analysts, data scientists and etc. to quickly refresh the linear algebra with the assistance of Python computation and visualization.",Jupyter Notebook,2020-06-01T19:07:55Z,2026-09-14T09:20:02Z,2024-09-05T16:40:42Z,20554,2570,2570,616,3,master,"computational-science, data-analysis, data-science, data-visualization, diagonalization, eigenvalues, eigenvectors, gram-schmidt, jupyter, linear-algebra, linear-transformations, mathematics, matrix, matrix-calculations, multivariate-normal-distribution, null-space, python, singular-value-decomposition, symmetric-matrices, vector-space",MIT License,,False,True,True,True,False,False,False,public
248739733,gopup,justinzm/gopup,justinzm,User,https://github.com/justinzm/gopup,"数据接口：百度、谷歌、头条、微博指数,宏观数据，利率数据，货币汇率，千里马、独角兽公司，新闻联播文字稿，影视票房数据，高校名单，疫情数据…",Python,2020-03-20T11:33:00Z,2026-09-12T12:40:09Z,2023-09-15T04:10:37Z,706,2546,2546,380,66,master,"covid19-data, data, data-analysis, data-science, datasets, economic-data, gopup, index-data, python",,http://www.gopup.cn,True,True,True,False,False,False,False,public
88613768,AAChartKit-Swift,AAChartModel/AAChartKit-Swift,AAChartModel,User,https://github.com/AAChartModel/AAChartKit-Swift,"📈📊📱💻🖥️An elegant modern declarative data visualization chart framework for iOS, iPadOS and macOS. Extremely powerful, supports line, spline, area, areaspline, column, bar, pie, scatter, angular gauges, arearange, areasplinerange, columnrange, bubble, box plot, error bars, funnel, waterfall and polar chart types. 极其精美而又强大的现代化声明式数据可视化图表框架,支持柱状图、条形图、折线图、曲线图、折线填充图、曲线填充图、气泡图、扇形图、环形图、散点图、雷达图、混合图等各种类型的多达几十种的信息图图表,完全满足工作所需.",Swift,2017-04-18T10:43:14Z,2026-09-05T22:07:18Z,2026-04-22T03:38:34Z,4732,2524,2524,263,160,master,"animation, area-chart, bar-chart, bubble-chart, chart, column-chart, data-analysis, data-visualization, draw, graph, graphics, ios, line-chart, model, objective-c, pie, plot, spline-chart, swift, view",MIT License,https://cocoapods.org/pods/AAInfographics,True,True,True,True,False,False,False,public
146321178,hyperlearn,unslothai/hyperlearn,unslothai,Organization,https://github.com/unslothai/hyperlearn,"2-2000x faster ML algos, 50% less memory usage, works on all hardware - new and old.",Jupyter Notebook,2018-08-27T16:00:47Z,2026-09-14T20:20:17Z,2024-11-19T02:09:54Z,48965,2514,2514,168,2,master,"data-analysis, data-science, deep-learning, econometrics, gpu, machine-learning, neural-network, optimization, python, pytorch, regression-models, research, scikit-learn, statistics, statsmodels, tensor",Apache License 2.0,https://unsloth.ai,True,True,True,False,False,False,False,public
564689243,ArcticDB,man-group/ArcticDB,man-group,Organization,https://github.com/man-group/ArcticDB,"ArcticDB is a high performance, serverless DataFrame database built for the Python Data Science ecosystem.",C++,2022-11-11T09:09:46Z,2026-09-14T16:00:08Z,2026-09-15T09:52:37Z,260212,2509,2509,217,338,master,"big-data, data, data-analysis, data-science, database, dataframe, pandas, quantitative-analysis, quantitative-finance, quantitative-trading",Other,http://arcticdb.io,True,True,True,True,False,False,False,public
401275197,elementary,elementary-data/elementary,elementary-data,Organization,https://github.com/elementary-data/elementary,The dbt-native data observability solution for data & analytics engineers. Monitor your data pipelines in minutes. Available as self-hosted or cloud service with premium features.,HTML,2021-08-30T08:45:23Z,2026-09-15T04:58:03Z,2026-09-15T09:25:37Z,251769,2409,2409,226,13,master,"analytics-engineer, bigquery, data-analysis, data-governance, data-lineage, data-observability, data-pipeline, data-pipelines, data-reliability, data-warehouse, dataops, dbt, dbt-artifacts, dbt-packages, lineage, redshift, snowflake",Apache License 2.0,https://www.elementary-data.com/,True,True,True,False,False,False,False,public
297152797,sqliteviz,lana-k/sqliteviz,lana-k,User,https://github.com/lana-k/sqliteviz,Instant offline SQL-powered data visualisation in your browser,JavaScript,2020-09-20T19:55:31Z,2026-09-12T17:51:02Z,2026-07-26T18:58:54Z,128771,2354,2354,135,20,master,"charting, csv, data-analysis, pivot, pivot-table, plotly, plotting, sql, sqlite, visualization",Apache License 2.0,https://sqliteviz.com,True,True,False,True,False,False,False,public
93753128,awesome-business-intelligence,thenaturalist/awesome-business-intelligence,thenaturalist,User,https://github.com/thenaturalist/awesome-business-intelligence,Actively curated list of awesome BI tools. PRs welcome!,,2017-06-08T13:34:02Z,2026-09-10T03:01:25Z,2024-08-21T11:08:26Z,181,2319,2319,301,27,master,"awesome-list, business-intelligence, data-analysis, data-science, data-visualization, database, etl, sql",MIT License,,True,True,True,False,False,False,False,public
